"id";"reputation";"ex";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector"
"19912";"14";"0";"1";"4";"0,000160979809711684";"7";"0,30800554496621";"65,9871285090594";"0,00851877315941894"
"19913";"136";"0";"3";"2";"0,000130933638637951";"8";"0,253711104767342";"14,3724008093673";"0,00105145824239226"
"19915";"11";"0";"1";"4";"0,0000395180153584541";"7";"0,297349276695376";"0";"0,000244794250290666"
"19919";"223";"1";"1";"4";"0,000100148686235008";"7";"0,297838471849866";"58,3906120772432";"0,00675226830592235"
"19922";"1";"0";"1";"0";"0,0000620275834819827";"0";"0";"0";"0,00048095047658527"
"19925";"11";"0";"2";"3";"0,0000615611279758888";"8";"0,266112732988996";"4,06631824978795";"0,00111612789343082"
"19927";"21";"0";"1";"0";"0,000043835067686433";"0";"0";"0";"0,000738802191991111"
"19928";"6";"0";"3";"4";"0,0000948485249957995";"7";"0,285290105127999";"5600,37466313808";"0,00255358477395858"
"19933";"118";"0";"1";"4";"0,0000395180153584541";"7";"0,295717255717256";"0";"0,000244794250290666"
"19935";"6";"0";"1";"3";"0,0000434238702917287";"7";"0,291427634813965";"0";"0,000244794250290666"
"19938";"128";"0";"1";"2";"0,0000579810206661677";"7";"0,268099547511312";"5529";"0,00249372794627899"
"19940";"36";"0";"1";"0";"0,0000575728161602283";"0";"0";"0";"0,000234585940166365"
"19942";"111";"0";"0";"2";"0,0000311204305365192";"7";"0,279098971823248";"0";"0"
"19943";"18";"0";"1";"1";"0,000139265460056512";"8";"0,248358250663686";"0";"0,00419390203439118"
"19944";"109";"0";"0";"8";"0,0000311204305365192";"7";"0,321141515397814";"0";"0"
"19946";"18";"0";"1";"2";"0,0000606427868946319";"7";"0,281941470378301";"0";"0,00368791174863381"
"19949";"21";"0";"1";"0";"0,0000504188310996608";"0";"0";"0";"0,000493641570035536"
"19960";"31";"0";"1";"2";"0,0000845743333153922";"7";"0,297564242069139";"0";"0,00714661448216079"
