"id";"userId";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector";"ex";"reputation"
"11729";"11729";"1";"1";"0,000133907457820362";"7";"0,290109352048311";"0";"0,0234585940166365";"0";"13"
"11730";"11730";"0";"14";"0,0000311204305365192";"7";"0,304671457905544";"0";"0";"0";"81"
"11731";"11731";"1";"5";"0,0000374945005479113";"7";"0,298622774605307";"0";"0,000244794250290666";"0";"29"
"11735";"11735";"2";"3";"0,0000615611279758888";"8";"0,275240012387736";"0";"0,00111612789343082";"0";"21"
"11736";"11736";"114";"8";"0,00288901650249806";"7";"0,30678287884018";"37638,9979361357";"0,222943980149058";"1";"401"
"11739";"11739";"4";"0";"0,000353195227413";"0";"0";"0";"0,00514250110895063";"0";"101"
"11740";"11740";"1";"0";"0,0000337265770973863";"0";"0";"0";"0,000244794250290666";"0";"108"
"11742";"11742";"0";"4";"0,0000311204305365192";"7";"0,298272101996309";"0";"0";"0";"146"
"11746";"11746";"1";"2";"0,0000330098866524984";"7";"0,305209853231482";"35,71882811165";"0,000234585940166365";"0";"1"
"11747";"11747";"2";"2";"0,0000655959948893783";"7";"0,290143603133159";"46,7614806301133";"0,00051043798389256";"0";"1"
"11750";"11750";"1";"2";"0,0000330098866524984";"7";"0,295348837209302";"60,9504599082315";"0,000234585940166365";"0";"1"
"11754";"11754";"1";"0";"0,0000330098866524984";"0";"0";"0";"0,000234585940166365";"0";"11"
"11757";"11757";"2";"3";"0,000046060321667845";"7";"0,29320580474934";"12,5773240291097";"0,000489588500581331";"0";"11"
"11758";"11758";"1";"0";"0,0000683710694135601";"0";"0";"0";"0,00389160900073732";"0";"61"
"11760";"11760";"0";"4";"0,0000311204305365192";"7";"0,308472812418697";"0";"0";"0";"111"
"11761";"11761";"1";"0";"0,0000565121528796086";"0";"0";"0";"0,00241647466404642";"0";"101"
"11765";"11765";"1";"0";"0,0000565121528796086";"0";"0";"0";"0,00241647466404642";"0";"101"
"11767";"11767";"4";"11";"0,000164352525626608";"6";"0,323093701717713";"558,656186105369";"0,0223671478597607";"0";"26"
"11776";"11776";"0";"2";"0,0000311204305365192";"8";"0,274298056155508";"0";"0";"0";"1"
"11780";"11780";"1";"5";"0,0000374945005479113";"7";"0,311738406241781";"0";"0,000244794250290666";"0";"1"
"11781";"11781";"1";"2";"0,0000541225221327741";"8";"0,273097304354504";"0";"0,000244794250290666";"0";"6"
"11782";"11782";"2";"1";"0,0000594492052637905";"7";"0,257496740547588";"15,2207424892282";"0,00126931237788652";"0";"21"
"11790";"11790";"1";"1";"0,0000906733548224785";"8";"0,273062447192565";"0";"0,00879035517649476";"0";"134"
"11795";"11795";"0";"3";"0,0000311204305365192";"7";"0,308653762694211";"0";"0";"0";"11"
