"questionId";"finished";"experts";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector"
"34143";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34147";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34148";"0";"0";"10,0000";"6,0000";"0,000245968635384538";"7,0000";"0,297564242069139";"677,715236695282";"0,0140903526510052"
"34150";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34151";"0";"0";"456,5000";"176,0000";"0,0091793655172588";"6,5000";"0,387351913312034";"1352744,3448657945";"0,45474833561944894"
"34154";"1";"1";"56,0000";"27,0000";"0,0011903850889058";"7,0000";"0,344209914794733";"61403,9513164037";"0,115537668775535"
"34156";"0";"0";"56,0000";"27,0000";"0,0011903850889058";"7,0000";"0,344209914794733";"61403,9513164037";"0,115537668775535"
"34158";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34159";"0";"0";"1,0000";"2,0000";"0,000139265460056512";"8,0000";"0,249613818283949";"27,4232371352331";"0,00419390203439118"
"34160";"0";"0";"394,5000";"161,5000";"0,007838825677192301";"6,5000";"0,383762494906297";"1234526,056477242";"0,38601114432998695"
"34161";"0";"0";"13,0000";"12,0000";"0,000240403128492978";"7,0000";"0,307180506350989";"8522,57536816734";"0,0140867024448021"
"34168";"1";"2";"243,5000";"48,5000";"0,00532225739340878";"7,0000";"0,34369548904045955";"268716,12449545704";"0,31591546826496303"
"34172";"0";"0";"68,0000";"41,0000";"0,00148499202539664";"7,0000";"0,353204172876304";"123567,846925964";"0,0934321894753074"
"34174";"0";"0";"294,0000";"88,0000";"0,00623741400974566";"7,0000";"0,375197889182058";"466019,451200672";"0,401699151358709"
"34178";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34179";"1";"1";"193,0000";"39,0000";"0,00384834303786339";"7,0000";"0,339866156787763";"178436,584932671";"0,251359917759492"
"34183";"1";"1";"295,0000";"60,0000";"0,00674212243291251";"7,0000";"0,352398889770024";"423982,856288018";"0,338879748033817"
"34186";"1";"1";"490,0000";"93,0000";"0,0102389488736368";"6,0000";"0,376270110076207";"821480,227897471";"0,54585824275312"
"34188";"0";"0";"872,0000";"252,0000";"0,018963806326";"6,0000";"0,407449856733524";"2443646,05895911";"0,740226986192448"
"34190";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34191";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34192";"0";"0";"294,0000";"88,0000";"0,00623741400974566";"7,0000";"0,375197889182058";"466019,451200672";"0,401699151358709"
"34195";"0";"0";"536,0000";"206,0000";"0,0101027980367573";"6,0000";"0,413227943740556";"1562780,73355686";"0,570724546359809"
"34204";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34211";"0";"0";"301,5000";"66,0000";"0,006401690443896425";"6,5000";"0,361144593679334";"498931,10075398104";"0,35946672291674553"
"34213";"1";"1";"733,0000";"296,0000";"0,0144872662654788";"6,0000";"0,423315075017861";"2407648,16163808";"0,656484619884439"
"34214";"0";"0";"55,6667";"16,3333";"0,0014291256686801395";"4,6667";"0,20926803738626934";"74848,39239567264";"0,10261733405829049"
"34215";"1";"1";"255,0000";"86,0000";"0,00540825825066556";"6,0000";"0,384865215979214";"525280,891138347";"0,345878774554815"
"34218";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34221";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34224";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34227";"1";"2";"63,0000";"20,0000";"0,001322613900715509";"7,0000";"0,3179468526568095";"70202,4495359295";"0,0876374053295443"
"34231";"0";"0";"122,0000";"43,0000";"0,00306369277996371";"7,0000";"0,346322454943984";"187106,771059725";"0,180077571621426"
"34236";"1";"1";"16,0000";"26,0000";"0,000317776014954371";"6,0000";"0,321486706456864";"16697,5651832963";"0,0267497875773745"
"34238";"1";"2";"470,0000";"146,5000";"0,01022439917569832";"6,5000";"0,38032701480491404";"1283606,9529425371";"0,4168295878338777"
"34242";"0";"0";"1304,0000";"224,0000";"0,0270873152449818";"6,0000";"0,408620689655172";"3105270,50688966";"1"
"34244";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34245";"1";"1";"180,0000";"56,0000";"0,0038714647690388";"7,0000";"0,351388751606207";"297840,528093509";"0,253012051354459"
"34250";"1";"1";"180,0000";"56,0000";"0,0038714647690388";"7,0000";"0,351388751606207";"297840,528093509";"0,253012051354459"
"34251";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34256";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34259";"1";"1";"68,0000";"41,0000";"0,00148499202539664";"7,0000";"0,353204172876304";"123567,846925964";"0,0934321894753074"
"34261";"0";"0";"1,0000";"0,0000";"0,0000343661223261074";"0,0000";"0";"0";"0,000244794250290666"
"34264";"1";"1";"1304,0000";"224,0000";"0,0270873152449818";"6,0000";"0,408620689655172";"3105270,50688966";"1"
"34266";"1";"2";"101,5000";"29,0000";"0,0023442160975942223";"6,5000";"0,328685419940166";"138227,0093020975";"0,17207216193283437"
