id;label;timeset;ex;indegree;outdegree;degree;weighted indegree;weighted outdegree;weighted degree;eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;modularity_class;pageranks;componentnumber;strongcompnum;clustering;eigencentrality
17288;17288;;0;1;1;2;1.0;1.0;2.0;7.0;0.2895529679993486;0.3042209009588148;179.1457046779803;14;3.9937892411088495E-5;0;808;0.0;2.345859401663645E-4
17286;17286;;0;1;1;2;1.0;1.0;2.0;7.0;0.2920877495686468;0.30670015404193235;0.0;10;9.464372443260355E-5;0;807;0.0;0.016930036625356474
4971;4971;;1;15;15;30;28.0;40.0;68.0;6.0;0.35100710900473936;0.3743975621190783;8219.593776424028;5;7.288743863036903E-4;0;807;0.4333333373069763;0.10522524234286493
17287;17287;;0;1;10;11;5.0;16.0;21.0;7.0;0.3154487406881873;0.3339779375343076;0.0;7;3.401140188205071E-5;0;810;0.3777777850627899;2.4479425029066515E-4
17283;17283;;0;0;2;2;0.0;2.0;2.0;7.0;0.29412737799834576;0.30965102576464204;0.0;10;3.112043053651886E-5;0;811;1.0;0.0
3630;3630;;0;0;2;2;0.0;2.0;2.0;8.0;0.229760289461782;0.23593959237238668;0.0;14;3.112043053651886E-5;0;812;0.0;0.0
3631;3631;;1;63;12;75;97.0;20.0;117.0;7.0;0.3092648977816442;0.32504721719911933;33450.869632595866;5;0.0014948144184542354;0;807;0.09014423191547394;0.12892997624283925
4962;4962;;0;2;2;4;2.0;2.0;4.0;7.0;0.260936582501468;0.27218203737191665;10.38761068933524;5;6.746669228201869E-5;0;807;0.3333333432674408;6.107143378688125E-4
3632;3632;;1;536;206;742;1374.0;849.0;2223.0;6.0;0.4132279437405556;0.4549132676980709;1562780.7335568527;4;0.01010279803675714;0;807;0.01758693717420101;0.5707245463598063
4965;4965;;0;1;9;10;1.0;12.0;13.0;6.0;0.3271088216355441;0.3460020622422205;0.0;17;3.436612232610701E-5;0;813;0.4305555522441864;2.4479425029066515E-4
3635;3635;;0;0;2;2;0.0;2.0;2.0;7.0;0.2539637194686473;0.26435066152445763;0.0;5;3.112043053651886E-5;0;814;0.0;0.0
4967;4967;;0;1;2;3;1.0;2.0;3.0;7.0;0.2375225496091401;0.2449293416382072;5531.0;4;3.9045924369487085E-5;0;807;0.0;2.838430319652764E-4
4980;4980;;0;0;3;3;0.0;3.0;3.0;6.0;0.3127528583992964;0.32891826021747606;0.0;5;3.112043053651886E-5;0;815;0.3333333432674408;0.0
4981;4981;;0;2;4;6;3.0;5.0;8.0;7.0;0.2829287703939515;0.2961944946755142;209.1594118668321;4;1.719964710094803E-4;0;807;0.5;0.008542817555561175
17298;17298;;0;1;4;5;2.0;6.0;8.0;7.0;0.3004901132330573;0.31613302801436016;0.0;10;3.951801535845371E-5;0;816;0.5833333134651184;2.4479425029066515E-4
3651;3651;;0;2;0;2;2.0;0.0;2.0;0.0;0.0;0.0;0.0;13;1.6630465011698855E-4;0;605;1.0;0.02630784270142526
17291;17291;;0;1;1;2;1.0;1.0;2.0;8.0;0.24369344666849466;0.2520115866318448;0.0;7;6.797393900020112E-5;0;807;0.0;0.0015188914359306927
17292;17292;;0;0;2;2;0.0;2.0;2.0;7.0;0.31081199195874487;0.328442873212281;0.0;17;3.112043053651886E-5;0;817;1.0;0.0
17290;17290;;0;0;1;1;0.0;1.0;1.0;8.0;0.25958099131323453;0.26994315442713135;0.0;10;3.112043053651886E-5;0;818;0.0;0.0
2;2;;0;1;5;6;2.0;6.0;8.0;7.0;0.2907842014882656;0.3044820290320916;0.0;4;3.7494500547910904E-5;0;819;0.25;2.4479425029066515E-4
6;6;;1;192;64;256;282.0;145.0;427.0;6.0;0.357286432160804;0.3858227848101222;308859.9460976835;4;0.0037247179263417644;0;807;0.041752006858587265;0.2621001506931489
9;9;;1;8;10;18;9.0;12.0;21.0;7.0;0.29105943998690026;0.30577925122229543;840.7615638292762;4;1.504404547694187E-4;0;807;0.2651515007019043;0.009881236048876049
4973;4973;;0;1;0;1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;17;8.12369061987048E-5;0;433;0.0;0.003746160685388452
3645;3645;;0;8;2;10;8.0;2.0;10.0;8.0;0.24083734164352008;0.24868629026857358;10.537301587301588;14;2.6467941073141424E-4;0;807;0.1428571492433548;0.004994990865838545
3647;3647;;0;2;3;5;3.0;3.0;6.0;7.0;0.2901803934372704;0.3025229388520599;244.21148503559925;4;1.80456463425777E-4;0;807;0.0;0.003103648534473213
3648;3648;;0;0;4;4;0.0;4.0;4.0;7.0;0.289482253337675;0.30191360008571;0.0;5;3.112043053651886E-5;0;820;0.25;0.0
4990;4990;;0;1;2;3;1.0;2.0;3.0;7.0;0.28525589603722123;0.2983937275697748;0.0;5;5.412252213277356E-5;0;821;0.5;2.4479425029066515E-4
3660;3660;;0;1;14;15;1.0;22.0;23.0;7.0;0.32084837545126355;0.33909115263545747;6082.275193124045;5;8.558825026981904E-5;0;807;0.3131868243217468;0.010536765870277192
17263;17263;;0;1;3;4;1.0;3.0;4.0;7.0;0.29965450408696387;0.3149633081579133;0.0;10;4.342387029172823E-5;0;822;0.6666666865348816;2.4479425029066515E-4
4992;4992;;0;2;4;6;2.0;4.0;6.0;7.0;0.31129597197898423;0.3273210099792418;218.7843455042027;5;1.1103526518537263E-4;0;807;0.75;0.007739968015219439
4993;4993;;0;0;4;4;0.0;5.0;5.0;7.0;0.2994949494949495;0.31414987017854323;0.0;5;3.112043053651886E-5;0;825;0.1666666716337204;0.0
