Source;Target;Type;id;label;timeset;weight;relation
22235;3340;Directed;145;;;1.0;2.0
852;3037;Directed;146;;;1.0;1.0
19816;1486;Directed;147;;;1.0;2.0
5833;5144;Directed;148;;;1.0;2.0
29;8186;Directed;149;;;1.0;1.0
6422;5729;Directed;150;;;3.0;1.0
22858;9943;Directed;151;;;2.0;2.0
6787;806;Directed;152;;;2.0;2.0
500;1231;Directed;153;;;2.0;1.0
19277;15121;Directed;154;;;1.0;2.0
5148;3624;Directed;155;;;2.0;1.0
4971;4971;Directed;156;;;8.0;1.0
9787;9583;Directed;157;;;1.0;0.0
9870;5198;Directed;158;;;1.0;2.0
13098;4747;Directed;159;;;2.0;2.0
6576;14826;Directed;160;;;5.0;1.0
1905;5466;Directed;161;;;1.0;2.0
1005;307;Directed;162;;;3.0;1.0
6412;3340;Directed;163;;;1.0;2.0
20385;9943;Directed;164;;;2.0;2.0
231;4433;Directed;165;;;1.0;1.0
540;3108;Directed;166;;;1.0;2.0
4747;1578;Directed;167;;;2.0;1.0
5148;3615;Directed;168;;;2.0;1.0
1472;1590;Directed;169;;;3.0;1.0
9268;9943;Directed;170;;;2.0;1.0
146;3460;Directed;171;;;1.0;1.0
1368;5148;Directed;172;;;1.0;1.0
1128;4742;Directed;173;;;1.0;0.0
8328;3340;Directed;174;;;1.0;2.0
3632;5754;Directed;175;;;2.0;1.0
1368;5144;Directed;176;;;1.0;1.0
8691;6511;Directed;177;;;1.0;2.0
14507;5005;Directed;178;;;2.0;2.0
173;219;Directed;179;;;2.0;1.0
1906;1320;Directed;180;;;1.0;1.0
13224;22996;Directed;181;;;1.0;0.0
8412;8412;Directed;182;;;3.0;0.0
20676;20501;Directed;183;;;1.0;0.0
6024;6371;Directed;184;;;1.0;0.0
6093;3615;Directed;185;;;2.0;2.0
4740;3340;Directed;186;;;1.0;2.0
6689;6689;Directed;187;;;1.0;0.0
10246;6124;Directed;188;;;1.0;1.0
1176;1250;Directed;189;;;2.0;1.0
13332;6511;Directed;190;;;1.0;2.0
14904;8619;Directed;191;;;1.0;0.0
408;1518;Directed;192;;;1.0;2.0
460;460;Directed;193;;;21.0;1.0
21803;3340;Directed;194;;;1.0;2.0
5616;5616;Directed;195;;;1.0;0.0
15205;3340;Directed;196;;;1.0;2.0
540;5700;Directed;197;;;1.0;1.0
3258;5754;Directed;198;;;1.0;2.0
8942;8942;Directed;199;;;1.0;0.0
11525;11525;Directed;200;;;3.0;1.0
4705;5367;Directed;201;;;1.0;0.0
4101;577;Directed;202;;;1.0;1.0
16265;3340;Directed;203;;;2.0;2.0
1906;1306;Directed;204;;;3.0;1.0
338;10045;Directed;205;;;2.0;1.0
6574;6574;Directed;206;;;3.0;0.0
8025;9943;Directed;207;;;1.0;2.0
19623;16651;Directed;208;;;1.0;2.0
566;5144;Directed;209;;;1.0;1.0
5481;4794;Directed;210;;;1.0;0.0
15640;368;Directed;211;;;1.0;2.0
13437;4108;Directed;212;;;5.0;2.0
6875;840;Directed;213;;;1.0;0.0
4478;4726;Directed;214;;;1.0;0.0
17365;17367;Directed;215;;;2.0;0.0
17437;5923;Directed;216;;;1.0;0.0
20676;19521;Directed;217;;;6.0;2.0
625;1122;Directed;218;;;1.0;1.0
13438;11736;Directed;219;;;1.0;2.0
1186;1004;Directed;220;;;1.0;2.0
3703;19440;Directed;221;;;2.0;2.0
86;915;Directed;222;;;2.0;2.0
9788;14815;Directed;223;;;1.0;2.0
16651;12877;Directed;224;;;2.0;1.0
13238;1590;Directed;225;;;1.0;1.0
14846;14846;Directed;226;;;1.0;0.0
19991;6167;Directed;227;;;1.0;1.0
6009;8015;Directed;228;;;1.0;1.0
9124;3624;Directed;229;;;1.0;1.0
10186;806;Directed;230;;;1.0;2.0
11581;10104;Directed;231;;;1.0;2.0
3248;3248;Directed;232;;;1.0;0.0
8991;1306;Directed;233;;;1.0;2.0
1203;3247;Directed;234;;;1.0;1.0
3778;3842;Directed;235;;;1.0;0.0
1306;9124;Directed;236;;;1.0;1.0
301;226;Directed;237;;;1.0;1.0
1320;9079;Directed;238;;;1.0;2.0
17632;10401;Directed;239;;;1.0;2.0
12883;6726;Directed;240;;;1.0;2.0
3232;3703;Directed;241;;;2.0;2.0
658;806;Directed;242;;;2.0;1.0
5709;9155;Directed;243;;;1.0;0.0
10104;22057;Directed;244;;;2.0;1.0
1176;1176;Directed;245;;;5.0;1.0
1353;1353;Directed;246;;;2.0;0.0
10226;6433;Directed;247;;;2.0;0.0
19486;3340;Directed;248;;;1.0;2.0
13299;1590;Directed;249;;;1.0;2.0
15650;11538;Directed;250;;;1.0;0.0
6340;6340;Directed;251;;;3.0;1.0
2999;948;Directed;252;;;1.0;1.0
8142;4747;Directed;253;;;3.0;2.0
8570;3703;Directed;254;;;1.0;1.0
14741;14741;Directed;255;;;2.0;0.0
10294;5198;Directed;256;;;3.0;1.0
6679;4108;Directed;257;;;1.0;2.0
4720;3615;Directed;258;;;2.0;2.0
6679;4109;Directed;259;;;1.0;2.0
23386;4108;Directed;260;;;2.0;2.0
5709;9137;Directed;261;;;1.0;0.0
15742;13338;Directed;262;;;1.0;2.0
19034;5144;Directed;263;;;1.0;2.0
8630;15486;Directed;264;;;1.0;0.0
3703;20341;Directed;265;;;1.0;2.0
9397;9829;Directed;266;;;1.0;2.0
12923;9943;Directed;267;;;4.0;1.0
15256;3553;Directed;268;;;1.0;2.0
3150;4279;Directed;269;;;1.0;0.0
6511;3887;Directed;270;;;1.0;1.0
11717;11631;Directed;271;;;1.0;2.0
16082;3340;Directed;272;;;2.0;2.0
10246;8809;Directed;273;;;1.0;1.0
3096;1320;Directed;274;;;1.0;2.0
8161;8598;Directed;275;;;1.0;1.0
4821;6928;Directed;276;;;1.0;1.0
16696;3340;Directed;277;;;1.0;2.0
6881;16085;Directed;278;;;1.0;0.0
611;806;Directed;279;;;2.0;1.0
13292;3340;Directed;280;;;2.0;2.0
11595;5144;Directed;281;;;1.0;2.0
740;4101;Directed;282;;;1.0;1.0
6340;6314;Directed;283;;;1.0;1.0
9439;4747;Directed;284;;;1.0;2.0
561;1231;Directed;285;;;1.0;1.0
740;4108;Directed;286;;;3.0;1.0
11607;20565;Directed;287;;;1.0;1.0
6704;3632;Directed;288;;;1.0;2.0
10374;577;Directed;289;;;1.0;2.0
17287;4109;Directed;290;;;1.0;2.0
13127;14698;Directed;291;;;1.0;2.0
9130;6307;Directed;292;;;3.0;2.0
14843;22057;Directed;293;;;1.0;2.0
3632;839;Directed;294;;;2.0;1.0
13360;3340;Directed;295;;;1.0;2.0
577;3444;Directed;296;;;1.0;2.0
12909;9943;Directed;297;;;13.0;1.0
4539;3340;Directed;298;;;1.0;2.0
16696;16744;Directed;299;;;1.0;0.0
746;916;Directed;300;;;1.0;0.0
1190;1190;Directed;301;;;7.0;0.0
6693;6693;Directed;302;;;1.0;0.0
9910;69;Directed;303;;;1.0;1.0
22729;22729;Directed;304;;;1.0;0.0
19117;18905;Directed;305;;;1.0;2.0
22724;3553;Directed;306;;;2.0;2.0
15109;4108;Directed;307;;;1.0;1.0
6214;19432;Directed;308;;;1.0;2.0
18788;5144;Directed;309;;;1.0;2.0
3553;22132;Directed;310;;;4.0;2.0
9990;3703;Directed;311;;;1.0;2.0
11679;9943;Directed;312;;;1.0;2.0
460;12877;Directed;313;;;1.0;1.0
5598;107;Directed;314;;;1.0;2.0
17010;3340;Directed;315;;;3.0;2.0
15946;9036;Directed;316;;;1.0;2.0
19307;16651;Directed;317;;;1.0;2.0
5762;6682;Directed;318;;;1.0;2.0
1098;1427;Directed;319;;;1.0;2.0
21711;21218;Directed;320;;;1.0;2.0
22729;22711;Directed;321;;;1.0;0.0
6800;86;Directed;322;;;1.0;2.0
17090;9943;Directed;323;;;1.0;2.0
19179;9943;Directed;324;;;1.0;2.0
21691;3340;Directed;325;;;2.0;2.0
17287;4139;Directed;326;;;1.0;2.0
15914;4108;Directed;327;;;1.0;2.0
8337;9943;Directed;328;;;1.0;1.0
10463;16725;Directed;329;;;1.0;0.0
3632;806;Directed;330;;;11.0;1.0
19640;15695;Directed;331;;;2.0;2.0
4261;5755;Directed;332;;;1.0;2.0
1051;3890;Directed;333;;;1.0;2.0
22704;18905;Directed;334;;;2.0;2.0
16685;5198;Directed;335;;;1.0;2.0
3310;3310;Directed;336;;;1.0;0.0
9894;4523;Directed;337;;;1.0;2.0
1916;11841;Directed;338;;;1.0;1.0
